Company Name,pricing,Emi,Project Name,Location,Config,Possession Status
Sumadhura Infracon Pvt. Ltd.,1.07 Cr - 1.45 Cr,EMI starts at 84.7 K,Sumadhura Soham Phase 2,"Whitefield, Bangalore","2.5, 3, 3.5 BHK Apartments","Sep, 2019"
Sumadhura Infracon Pvt. Ltd.,80.87 L - 1.2 Cr,EMI starts at 70.2 K,Sumadhura Nandanam,"Hoodi, Whitefield, Bengaluru","2, 2.5, 3 BHK Apartments","Dec, 2021"
Sumadhura Infracon Pvt. Ltd.,62.58 L - 85.2 L,EMI starts at 49.8 K,Sumadhura Eden Garden,"Whitefield, Bangalore","2, 2.5, 3 BHK Apartments","Dec, 2021"
T.G. Developers,75 L,EMI starts at 46.7 K,TG Arte,"Kudlu Gate, Bangalore",3 BHK Apartment,"Apr, 2021"
T.G. Developers,52.96 L - 73.49 L,EMI starts at 45.8 K,T G Ascent,"Hosa Road, Bangalore","2, 3 BHK Apartments","Jun, 2020"
Gopalan Enterprises,50.1 L - 67.41 L,EMI starts at 42 K,Gopalan Olympia,"Off Mysore Road, Bangalore","2, 3 BHK Apartments",Ready to Move
Gopalan Enterprises,73.79 L - 92.83 L,EMI starts at 54.2 K,Gopalan Sanskriti,"Mysore Road, Bangalore","2, 3 BHK Apartments",Ready to Move
Gopalan Enterprises,79.44 L - 98.3 L,EMI starts at 57.4 K,Gopalan Lake Front,"Electronic City, Bangalore","2, 3 BHK Apartments","Jun, 2020"
Gopalan Enterprises,99.03 L,EMI starts at 57.8 K,Gopalan Atlantis,"Whitefield, Bangalore",3 BHK Apartment,Ready to Move
Celebrity Structures India Pvt Ltd	,29.7 L - 66 L,EMI starts at 41.1 K,Celebrity Pride Access,"Sarjapur-Attibele Road, Bangalore",Residential Plots,Ready to Move
Celebrity Structures India Pvt Ltd	,29.03 L - 39.33 L,EMI starts at 24.5 K,Celebrity Pride Avenue,"Sarjapur-Attibele Road, Bangalore","2, 3 BHK Apartments","Mar, 2021"
Celebrity Structures India Pvt Ltd	,85.77 L - 1.72 Cr,EMI starts at 1.0 Lacs,Celebrity Natures Habitat,"Sarjapur - Attibele Road, Bangalore","3, 4 BHK Villas",Ready to Move
Celebrity Structures India Pvt Ltd	,80.09 L - 94.94 L,EMI starts at 55.5 K,Celebrity Serenity,"Bettadasanapura, Bangalore",3 BHK Villa,Ready to Move
Bren Corporation,73.83 L - 89.89 L,EMI starts at 52.5 K,Bren Starlight,"Old Madras Road, Bangalore","2, 3 BHK Apartments","Mar, 2020"
Bren Corporation,54.48 L - 69.13 L,EMI starts at 43.1 K,Bren Woods,"Rayasandra, Bangalore","2, 3 BHK Apartments",Ready to Move
Bren Corporation,62.27 L - 1.24 Cr,EMI starts at 72.6 K,Bren Imperia,"Haralur road, Adj HSR, Bangalore","1, 2, 3 BHK Apartments","Sep, 2020"
GP Homes,7.2 L - 14.86 L,EMI starts at 9.2 K,GP OMR Golden City,"Illalur RF, Chennai",Residential Plots,Ready to Move
GP Homes,39.74 L - 58.02 L,EMI starts at 36.1 K,GP Peach Blossom,"Korattur, Chennai","2, 3 BHK Apartments","Oct, 2020"
GP Homes,45.64 L - 49.38 L,EMI starts at 30.7 K,GP Flora Diamond,"Porur, Chennai",2 BHK Apartment,"Oct, 2020"
GP Homes,44.09 L - 67.85 L,EMI starts at 42.3 K,GP Valencia,"Kil Ayanambakkam, Chennai","2, 3 BHK Apartments","Oct, 2020"
KVT Homes and Estate PVt Ltd,16.68 L - 1.93 Cr,EMI starts at 1.12 Lacs,KVT Smart City,"Cholavaram, Chennai",Residential Plots,Ready to Move
KVT Homes and Estate PVt Ltd,25.36 L - 1.61 Cr,EMI starts at 94.2 K,KVT Green City,"Perungalathur, Chennai",Residential Plots,Ready to Move
KVT Homes and Estate PVt Ltd,21.03 L - 2.38 Cr,EMI starts at 1.39 Lacs,KVT Garden Phase 4,"V S Mani Nagar, Chennai",Residential Plots,Ready to Move
KVT Homes and Estate PVt Ltd,19.65 L - 1.25 Cr,EMI starts at 73 K,KVT Township,"Vadaperumbakkam, Chennai",Residential Plots,Ready to Move
Ruby Builders And Promoters,34.09 L - 50.75 L,EMI starts at 31.6 K,Ruby Royal Tower,"Mannivakkam, Chennai","2, 3 BHK Apartments","Aug, 2022"
Ruby Builders And Promoters,64.67 L - 78.95 L,EMI starts at 46.1 K,Ruby Ananta,"OMR-Thoraipakkam, Chennai","2, 3 BHK Apartments","Feb, 2020"
Ruby Builders And Promoters,39.9 L - 55.33 L,EMI starts at 34.5 K,Ruby Landmark,"Mannivakkam, Chennai","2, 3 BHK Apartments",Ready to Move
Ruby Builders And Promoters,29.55 L - 62.99 L,EMI starts at 39.2 K,Ruby Nakshatra,"Tambaram, Chennai","1, 2, 3 BHK Apartments","Mar, 2021"
BSCPL Infrastructure Ltd,1.21 Cr - 1.88 Cr,EMI starts at 1.1 Lacs,BSCPL Bollineni Iris,"Sholinganallur, OMR, Chennai","3, 4 BHK Villas","Dec, 2020"
BSCPL Infrastructure Ltd,46.56 L - 73.78 L,EMI starts at 46 K,BSCPL Bollineni Hillside 2,"Perumbakkam, Chennai","2, 2.5, 3 BHK Apartments",Ready to Move
Golden Homes,36.1 L - 1.1 Cr,EMI starts at 64.3 K,Golden Opulence,"Poonamalle, Chennai","2, 3 BHK Apartments",Ready to Move
Golden Homes,4.7 Cr,EMI starts at 2.74 Lacs,Golden Homestead,"Chetpet, Chennai",3 BHK Apartment,Ready to Move
Golden Homes,1.85 Cr - 1.89 Cr,EMI starts at 1.1 Lacs,Platinum 61 63,"Anna Nagar West Extension, Chennai",3 BHK Apartment,"Feb, 2020"
India Builders Limited,3.91 Cr,EMI starts at 2.28 Lacs,India Builders Celesta,"Park Town, Chennai",4 BHK Apartment,"Jul, 2019"
India Builders Limited,3.02 Cr,EMI starts at 1.76 Lacs,India Builders Lovedale,"Kilpauk, Chennai",3 BHK Apartment,"Sep, 2020"
India Builders Limited,2.21 Cr,EMI starts at 1.29 Lacs,India Builders Sri Padhuka,"Annanagar East, Chennai",3 BHK Apartment,"Dec, 2020"
India Builders Limited,2.32 Cr,EMI starts at 1.35 Lacs,India Builders Park View Residency,"Ashok Nagar, Chennai",3 BHK Apartment,"May, 2021"
India Builders Limited,2.9 Cr,EMI starts at 1.69 Lacs,India Builders Saras Sreenikethan,"Adyar, Chennai",3 BHK Apartment,"Aug, 2020"
India Builders Limited,2.42 Cr,EMI starts at 1.41 Lacs,India Builders Chaitali,"Anna Nagar West Extension, Chennai",3 BHK Apartment,"Feb, 2020"
India Builders Limited,2.65 Cr,EMI starts at 1.54 Lacs,India Builders Dakshin,"Anna Nagar, Chennai",3 BHK Apartment,"Mar, 2021"
GPS Group,33.25 L - 46.73 L,EMI starts at 29.1 K,GPS Meena Aurum,"Hatiara, Gourang Nagar, Near New town","2, 3 BHK Apartments",Ready to Move
GPS Group,27.54 L - 41.51 L,EMI starts at 25.8 K,Meena Graciya,"Gourang Nagar, Near New town","2, 3 BHK Apartments",Ready to Move
GPS Group,76.13 L,EMI starts at 44.5 K,GPS Meena Avalon,"Salt Lake, Sector 5",3 BHK Apartment,Ready to Move
GPS Group,28.11 L - 47.99 L,EMI starts at 29.9 K,GPS Meena Fortuna,"Gourangna Nagar, NewTown","2, 3 BHK Apartments","Dec, 2021"
EDEN GROUP,7.47 L - 18.13 L,EMI starts at 11.3 K,Eden Meghbalika,"Khasmallick-More, Baruipur","1 RK, 1, 2 BHK Apartments","Aug, 2023"
EDEN GROUP,15.95 L - 53.37 L,EMI starts at 33.2 K,Eden Tolly Gardenia,"Thakurpukur, Kolkata","1, 2, 3 BHK Apartments","Aug, 2022"
EDEN GROUP,63.0 L - 97.99 L,EMI starts at 57.2 K,Eden Bella Vista,"Beliaghata, Kolkata","2, 3 BHK Apartments","Jun, 2023"
EDEN GROUP,47.64 L - 71.12 L,EMI starts at 44.3 K,The Forest,"Paikpara, Kolkata","2, 3 BHK Apartments","Dec, 2023"
GM Group,36 L - 56.45 L,EMI starts at 35.2 K,Meena Orchid,"Salt Lake City, Kolkata","2, 3 BHK Apartments",Under Construction
GM Group,24.8 L - 25.3 L,EMI starts at 15.7 K,GM Meena Srishti,"Rajarhat, Kolkata",2 BHK Apartment,Ready to Move
GM Group,45.22 L - 49.98 L,EMI starts at 31.1 K,GM Meena Glory,"Rajarhat, Kolkata",3 BHK Apartment,Ready to Move
GM Group,37.72 L - 51.25 L,EMI starts at 31.9 K,GM Meena Sparsh,"Rajarhat, Kolkata","2, 3 BHK Apartments",Ready to Move
GM Group,35.71 L - 49.25 L,EMI starts at 30.7 K,GM Meena Paradise,"Kaikhali, Kolkata","2, 3 BHK Apartments","Dec, 2019"
GM Group,35.15 L - 54.91 L,EMI starts at 34.2 K,GM Meena Icon,"Sodepur, Kolkata","2, 3 BHK Apartments","Dec, 2018"
Realtech Nirman Pvt. Ltd.,19.22 L - 28.33 L,EMI starts at 17.6 K,Realtech Basanta,"Rajarhat, Kolkata","2, 3 BHK Apartments","Dec, 2019"
Realtech Nirman Pvt. Ltd.,18.17 L - 29.7 L,EMI starts at 18.5 K,Realtech Rajotto,"Rajarhat, Kolkata","2, 3 BHK Apartments","Dec, 2022"
Realtech Nirman Pvt. Ltd.,20.76 L - 35.95 L,EMI starts at 22.4 K,The Indiana,"Kalikapur, Kolkata","2, 2.5, 3 BHK Apartments","Dec, 2022"
Realtech Nirman Pvt. Ltd.,34.78 L - 65.27 L,EMI starts at 40.7 K,Realtech Hijibiji,"New Town, Kolkata","2, 3 BHK Apartments","Dec, 2022"
Sree Balaji,9 L,EMI starts at 5.6 K,Panthaniwas Dooars,"Dooars, Lataguri, Jalpaiguri","Studio, 1 BHK Apartment, Studio Apartments","Mar, 2022"
Sree Balaji,90.0 L,EMI starts at 52.6 K,Sree Balaji Bon Bunglow,"Daronda, Bolpur-Santiniketan",4 BHK Bungalow,Ready to Move
Sree Balaji,11.5 L,EMI starts at 7.1 K,Panthaniwas Shantiniketan Phase - III,"Ramnagar, Birbhum District","Studio, 1 BHK Apartment, Studio Apartments",Ready to Move
Merlin Group,85.28 L - 1.1 Cr,EMI starts at 64.3 K,Merlin Legacy,"Central Kolkata, Park Circus, Kolkata",3 BHK Apartment,Ready to Move
Merlin Group,59.35 L - 69.6 L,EMI starts at 43.4 K,Merlin Waterfront,"Shalimar, Howrah, Kolkata",3 BHK Apartment,Ready to Move
Merlin Group,80 L - 1.72 Cr,EMI starts at 1.0 Lacs,Merlin Regalia,"Convent Lane, Entally, Kolkata","2, 3, 4 BHK Apartments","Jun, 2020"
Merlin Group,68 L - 93.02 L,EMI starts at 54.3 K,Merlin The One,"Tollygunge, Kolkata","2, 2.5, 3 BHK Apartments","Jun, 2022"
Merlin Group,26.67 L - 34.04 L,EMI starts at 21.2 K,Merlin Gangotri,"Konnagar, Kolkata","2, 3 BHK Apartments","Dec, 2021"
Merlin Group,1.2 Cr - 1.24 Cr,EMI starts at 72.5 K,Merlin Iland,"Ballygaunge Phari, Kolkata",3 BHK Apartment,"Dec, 2019"
Merlin Group,78 L - 1.17 Cr,EMI starts at 68.5 K,Merlin Pristine,"New Alipore, Kolkata","2, 3 BHK Apartments","Sep, 2023"
Merlin Group,83 L - 1 Cr,EMI starts at 58.4 K,Merlin Iris,"Mukundapur, Kolkata","3, 4 BHK Apartments","Sep, 2023"
Merlin Group,55.5 L - 1.25 Cr,EMI starts at 73 K,Merlin Verve,"Tollygunge, Kolkata","2, 3, 4 BHK Apartments","Jun, 2022"
Merlin Group,53.37 L - 89.82 L,EMI starts at 52.5 K,Elita Garden Vista Phase 2,"New Town, Kolkata ","2, 2.5, 3, 3.5 BHK Apartments","Dec, 2020"
Merlin Group,36 L - 58 L,EMI starts at 36.1 K,Merlin Maximus,"BT Road, Sodepore More, Kolkata","2, 3 BHK Apartments","Jun, 2020"
Merlin Group,78 L - 1.03 Cr,EMI starts at 60.2 K,Merlin Urvan,"Nagerbazar, Dum Dum, Kolkata","3, 4 BHK Apartments","Jun, 2023"
Merlin Group,88 L - 1.37 Cr,EMI starts at 80.1 K,Elements,"Alipore, Kolkata","3, 4 BHK Apartments","Jun, 2023"
Royal Realtors Group Of Companies,69 L - 1.39 Cr,EMI starts at 81.2 K,Royal Pristo,"Malad East, Mumbai","1, 2 BHK Apartments","Dec, 2022"
Royal Realtors Group Of Companies,1.0 Cr - 2.03 Cr,EMI starts at 1.18 Lacs,Royal Samarpan Phase 1,"Kandivali West, Mumbai","1, 2, 3 BHK Apartments","Dec, 2020"
Royal Realtors Group Of Companies,92 L - 1.47 Cr,EMI starts at 85.9 K,Royal Oasis,"jankalyan Nagar, Malad west","1, 2 BHK Apartments",Ready to Move
Romell Group,1.77 Cr - 2.45 Cr,EMI starts at 1.43 Lacs,Romell Aether Tower B2,"Goregaon East, Mumbai","2, 3 BHK Apartments","Mar, 2019"
Romell Group,1.56 Cr,EMI starts at 91.2 K,Romell Empress C Wing,"Borivali West, Mumbai",2 BHK Apartment,Under Construction
Romell Group,1.52 Cr - 1.92 Cr,EMI starts at 1.12 Lacs,Romell Diva,"Malad West, Mumbai","2, 3 BHK Apartments","Apr, 2019"
Unique Shanti Developers ,4.73 Cr,EMI starts at 2.76 Lacs,Sorrento,"Santacruz West, Mumbai",3 BHK Apartment,Ready to Move
Unique Shanti Developers ,Price on Request,Unique The Empress,"Mira Road East, Mira Bhayandar","1, 2 BHK Apartments"
Unique Shanti Developers ,23.61 L - 34.47 L,EMI starts at 21.4 K,Unique Homes,"Virar West, Virar","1, 2 BHK Apartments","Aug, 2019"
Unique Shanti Developers ,Price on Request,Unique Aurum II,"Mira Road East, Mira Bhayandar","1, 2 BHK Apartments","Sep, 2018"
Unique Shanti Developers ,12.34 Cr - 12.36 Cr,EMI starts at 7.22 Lacs,Unique Finessia 4th Floor To 9th Floor,"Bandra West, Mumbai",4 BHK Apartment,Ready to Move
Unique Shanti Developers ,3.8 Cr - 4.12 Cr,EMI starts at 2.41 Lacs,Unique Elita,"Santacruz East, Mumbai",3 BHK Apartment,Ready to Move
Unique Shanti Developers ,Price on Request,Unique Skyline II,"Mira Road East, Mira Bhayandar","1, 2 BHK Apartments","Sep, 2018"
Unique Shanti Developers ,74.21 L - 1.09 Cr,EMI starts at 63.6 K,Unique Vistas Bldg No 4,"Thane West, Thane","1, 2 BHK Apartments","Jun, 2021"
Unique Shanti Developers ,Price on Request,Unique Poonam Estate Cl 2 Blg No 1 2 3,"Mira Road East, Mira Bhayandar","2, 3 BHK Apartments",Ready to Move
Unique Shanti Developers ,75.0 L - 1.01 Cr,EMI starts at 58.8 K,Unique Greens,"Thane West, Thane","1, 2 BHK Apartments",Ready to Move
Unique Shanti Developers ,Price on Request,Unique Orbit,"Mira Road East, Mira Bhayandar",1 BHK Apartment,Ready to Move
Unique Shanti Developers ,51.93 L - 92.74 L,EMI starts at 54.2 K,Unique Poonam Estate Cl 2 Blg No 7 8 9,"Mira Road East, Mira Bhayandar","1, 2, 3 BHK Apartments","Jun, 2019"
Unique Shanti Developers ,Price on Request,Skyline II MHADA,"Mira Road East, Mira Bhayandar",2 BHK Apartment,Ready to Move
Unique Shanti Developers ,1.17 Cr,EMI starts at 68.3 K,Unique Vistas Bldg No 5,"Thane West, Thane",2 BHK Apartment,"Jun, 2021"
Unique Shanti Developers ,55.17 L - 2.24 Cr,EMI starts at 1.31 Lacs,Unique Borivali Yash Prabha CHS Ltd,"Borivali West, Mumbai","1 RK, 1, 2, 3 BHK Apartments","Jun, 2020"
Ajnara India Ltd.,48.13 L - 87.68 L,EMI starts at 51.2 K,Ajnara Ambrosia,"Sector 118, Noida","2, 3, 3.5 BHK Apartments","Dec, 2019"
Ajnara India Ltd.,31.06 L - 34.83 L,EMI starts at 21.7 K,Ajnara Elements,"Sector 137, Noida",1 BHK Apartment,Ready to Move
Ajnara India Ltd.,95 L,EMI starts at 55.5 K,Ajnara Klock Tower,"Sector 74, Noida",3 BHK Apartment,"Feb, 2019"
Ajnara India Ltd.,19.02 L - 30.82 L,EMI starts at 19.2 K, Ajnara Panorama,"Yeida, Greater Noida","2, 2.5, 3 BHK Apartments",Ready to Move
Ajnara India Ltd.,36.47 L - 66.1 L,EMI starts at 41.2 K,Ajnara Fragrance,"Raj Nagar Extension, Ghaziabad","2, 3, 4, 4.5 BHK Apartments",Under Construction
Ajnara India Ltd.,Price on Request,Ajnara Grand Heritage,"Sector 74, Noida","2, 2.5, 3, 3.5, 4 BHK Apartments",Under Construction
Ajnara India Ltd.,Price on Request,Ajnara Sports City Villas,"Surajpur, Greater Noida","2, 3, 4 BHK Villas","Dec, 2021"
Ajnara India Ltd.,23.0 L - 34.61 L,EMI starts at 21.5 K,Ajnara Olive Greens,"Surajpur, Greater Noida","2, 2.5, 3 BHK Apartments","Dec, 2022"
Ajnara India Ltd.,13.98 L - 25.93 L,EMI starts at 16.1 K,Ajnara Vice Royale,"Yeida, Greater Noida","1, 2 BHK Apartments",Ready to Move
Ajnara India Ltd.,46.06 L - 1.15 Cr,EMI starts at 67 K,Ajnara Daffodil,"Sector 137, Noida","1, 2, 2.5, 3, 3.5 BHK Apartments",Ready to Move
Ajnara India Ltd.,24.03 L - 37.46 L,EMI starts at 23.3 K,Ajnara Khel Gaon,"Surajpur, Greater Noida","2, 2.5, 3 BHK Apartments","Jul, 2022"
Ajnara India Ltd.,36.08 L - 59.15 L,EMI starts at 36.8 K,Ajnara Le Garden,"Sector - 16 B, Greater Noida West","2.5, 3 BHK Apartments",Ready to Move
Ajnara India Ltd.,60.83 L - 1.13 Cr,EMI starts at 66 K,Ajnara The Belvedere,"Sector 79, Noida","3, 4 BHK Apartments","Dec, 2020"
Ajnara India Ltd.,66.15 L - 2.43 Cr,EMI starts at 1.42 Lacs,London Square,Greater Noida,"4, 4.5, 5 BHK Villas",Ready to Move
Ajnara India Ltd.,35.19 L - 65.18 L,EMI starts at 40.6 K,Le Garden,"Noida Extension, Greater Noida","2, 3 BHK Apartments",Ready to Move
Dasnac,1.04 Cr - 2.16 Cr,EMI starts at 1.26 Lacs,Dasnac The Jewel of Noida,"Sector 75, Noida","2, 3, 4 BHK Apartments",Ready to Move
Cybercity Builders & Developers,1.22 Cr - 1.83 Cr,EMI starts at 1.06 Lacs,Cybercity Rainbow Vistas Rock Garden,"Borabanda, Hyderabad","3, 3.5 BHK Apartments",Under Construction
Anuhar Homes Pvt Ltd,57.6 L - 82.94 L,EMI starts at 48.4 K,Anuhar Nature Walk,"Alkapur Township, Hyderabad","2, 3 BHK Apartments","Jun, 2020"
Anuhar Homes Pvt Ltd,63.56 L - 96.08 L,EMI starts at 56.1 K,Anuhar Rami Reddy Towers,"Alkapur Township, Hyderabad","2, 3 BHK Apartments","Sep, 2022"
Anuhar Homes Pvt Ltd,88.52 L,EMI starts at 51.7 K,Anuhar Sunny Side,"Alkapur Township, Hyderabad",3 BHK Apartment,"Feb, 2020"
RR Builders,69.6 L - 1.09 Cr,EMI starts at 63.8 K,RR Signature,"Manchirevula, Hyderabad","2, 3 BHK Apartments","Dec, 2022"
RR Builders,58.99 L - 94.81 L,EMI starts at 55.4 K,RR Village Pointe,"Puppalaguda, Hyderabad","2, 3 BHK Apartments","Feb, 2021"
RR Builders,59.78 L - 99.03 L,EMI starts at 57.9 K,RR Tropicana,"Narsingi, Hyderabad","2, 3 BHK Apartments","Mar, 2021"
Praneeth Group,1.01 Cr - 1.37 Cr,EMI starts at 80.1 K,Praneeth Pranav Leaf,"Bachupally, Hyderabad",3 BHK Villa,"Sep, 2024"
Praneeth Group,54.5 L - 75.5 L,EMI starts at 44.1 K,APR Pranav Townsquare,"Bachupally, Hyderabad","2, 3 BHK Apartments","May, 2024"
Riddhi Group,86.43 L - 1.49 Cr,EMI starts at 86.8 K,Riddhi Elite,"Upparpally, Hyderabad","3, 4 BHK Apartments","Dec, 2020"
Riddhi Group,56.4 L - 75.36 L,EMI starts at 44 K,Riddhi Grandeur,"Puppalaguda, Hyderabad","2, 3 BHK Apartments","Nov, 2023"
Riddhi Group,66.76 L - 1.07 Cr,EMI starts at 62.4 K,Riddhi Saphire,"Narsingi, Hyderabad","2, 3 BHK Apartments","Jun, 2020"
Vessella Group,3.42 Cr - 5.16 Cr,EMI starts at 3.01 Lacs,Vessella Meadows,Narsingi,"5+, 4.5 BHK Villa, Apartments","Feb, 2020"
Jaydee Group,22.0 L - 33.13 L,EMI starts at 20.6 K,Arjun 226,"Vavol, Gandhinagar","1, 2 BHK Apartments","Jun, 2022"
Jaydee Group,22.0 L - 32.0 L,EMI starts at 19.9 K,Jannat Smart Living,"Vavol, Gandhinagar","1, 2 BHK Apartments","Mar, 2023"
Omkar Group,27.64 L - 41.23 L,EMI starts at 25.7 K,Dhairya Paradise,"Isanpur, Ahmedabad","2, 3 BHK Apartments","Mar, 2020"
Omkar Group,20.8 L - 31.9 L,EMI starts at 19.8 K,Omkar 2,"Narolgam, Ahmedabad","2, 3 BHK Apartments","Mar, 2023"
Omkar Group,33.49 L - 46.74 L,EMI starts at 29.1 K,Omkar Elegance,"Vastral, Ahmedabad","2, 3 BHK Apartments","Dec, 2024"
Soham Group,Price on Request,Soham Dev Parivesh,"Sabarmati, Ahmedabad","2, 3 BHK Apartments","Dec, 2019"
Soham Group,Price on Request,Soham Dev Solitaire,"Prahlad Nagar, Ahmedabad",3 BHK Apartment,Ready to Move
Soham Group,Price on Request,Soham Dev Prime,"Chandkheda, Ahmedabad","2, 3 BHK Apartments",Ready to Move
Soham Group,Price on Request,Soham Dev Prayag,"Motera, Ahmedabad","2, 3 BHK Apartments",Ready to Move
Soham Group,Price on Request,Dev Parijat,"Khodiyar, Ahmedabad",3 BHK Apartment,"Aug, 2023"
Soham Group,63.38 L - 70.57 L,EMI starts at 44 K,Soham Dev Vihaan,"Motera, Ahmedabad",3 BHK Apartment,"Mar, 2019"
Soham Group,Price on Request,Soham Dev Prijat,"Khodiyar, Ahmedabad",3 BHK Apartment,Ready to Move
